number,repo_name,ref,path,size
3146,faux123/kernel-moto-atrix4g,refs/heads/android_2.3.4,arch/ia64/kernel/.gitignore,100392
6233,briggsbog/FreeRDP,refs/heads/master,winpr/libwinpr/smartcard/test/.gitignore,34032
8564,sunminghai/alipay,refs/heads/master,.gitignore,6956
17578,sjbgit/Ionic,refs/heads/master,menuApp/platforms/android/.gitignore,21600
18427,kayhide/motion_blender-support,refs/heads/master,.gitignore,353
19283,goffersoft/common-utils-python,refs/heads/master,utils/docs/.gitignore,948
26448,codemucker/codemucker-jfind,refs/heads/master,.gitignore,904
30318,krzychusan/empathy-clone,refs/heads/master,libempathy/.gitignore,22552
30771,pedropazello/elixir_portal,refs/heads/master,.gitignore,0
34373,normesta/cordova-samples,refs/heads/master,cordova-hooks/.gitignore,3987
35122,Dopi/JetKernel,refs/heads/master,arch/powerpc/boot/dtc-src/.gitignore,136108
36807,kevineaton/go-esperanto,refs/heads/master,.gitignore,1768
37033,atvaccaro/atvaccaro.github.io,refs/heads/master,.gitignore,728
37177,shprink/angular-performance-stats,refs/heads/master,.gitignore,151
41900,rgrams/defold_polygon_editor,refs/heads/master,.gitignore,313
42538,tazaar/streampads,refs/heads/master,.gitignore,795
43887,riyaz942/react-native-fcm,refs/heads/master,.gitignore,37058
51385,jwadhams/json-logic-js,refs/heads/master,.gitignore,251
53186,ppiech/RxJava,refs/heads/1.x,.gitignore,18932
55307,zhaochao/fuel-library,refs/heads/master,deployment/puppet/ssh/.gitignore,41889
56202,javelinanddart/ElementalX-m9,refs/heads/ElementalX-3.00,arch/sparc/boot/.gitignore,139822
56554,mohamedmansour/hackaskeleton,refs/heads/master,.gitignore,104
65191,Ballrock/newyear,refs/heads/master,.gitignore,4
65239,danjford/helpersjs,refs/heads/development,.gitignore,9
66122,robsonscruz/project-symfony,refs/heads/master,vendor/symfony/symfony/src/Symfony/Component/Locale/.gitignore,8190
66141,masom/Chowly,refs/heads/master,.gitignore,19941
67375,mavericksw/tools,refs/heads/master,.gitignore,2
68384,jfrazx/desuraify,refs/heads/master,.gitignore,180
74350,jwbuurlage/Bulk,refs/heads/master,.gitignore,4727
76507,platinumthinker/kvs,refs/heads/master,.gitignore,579
81031,jbowes/gh-pulls-status-userscript,refs/heads/master,.gitignore,228
85812,kanflo/esp_iot_rtos_sdk,refs/heads/master,.gitignore,4110
89662,def3980/dml2,refs/heads/master,vendor/symfony/symfony/src/Symfony/Component/Routing/.gitignore,17803
90636,lichunchengPG/mysite,refs/heads/master,storage/framework/.gitignore,437
92640,xuxingyin/appframework,refs/heads/master,.gitignore,19666
94022,elsudano/skeleton_python,refs/heads/master,.gitignore,22
96693,JoMinjung/sample,refs/heads/master,.gitignore,152
97834,bwinton/atom-build-markdown,refs/heads/main,.gitignore,12
99133,fmidev/metoclient-ui,refs/heads/master,.gitignore,3701
99447,gunine/htc-rider-univ-kernel,refs/heads/gingerbread,arch/avr32/boot/images/.gitignore,103064
107814,Sappharad/OSX_Minesweeper,refs/heads/master,.gitignore,153
109559,jedcn/jedcn.com,refs/heads/master,.gitignore,4022
110839,jmgilbert2/energi,refs/heads/energi_v0_egihash_integration,.gitignore,104781
119668,Codvanced/template-mvc4-net4,refs/heads/develop,.gitignore,632
123164,ezecosystem/Sylius,refs/heads/master,src/Sylius/Bundle/ReviewBundle/.gitignore,74263
129019,thinkwell/mongoid_nested_set,refs/heads/master,.gitignore,234
129721,danbarsor/linux_kernel-2.6.35,refs/heads/master,scripts/selinux/mdp/.gitignore,105955
129804,chirilo/larangular-multi-setup,refs/heads/master,vendor/symfony/filesystem/.gitignore,5796
132793,ponkore/gnu-global-mod,refs/heads/master,.gitignore,884
134824,12AngryMen/votca-scripts,refs/heads/master,.gitignore,1496
135497,dysan1376/parafarma,refs/heads/master,src/Sylius/Component/Payment/.gitignore,5060
137304,AXDOOMER/chocolate-doom-plus,refs/heads/master,src/.gitignore,1989
139055,ronasimi/LGF180-Optimus-G-_Android_KK_v30a_Kernel,refs/heads/master,Documentation/DocBook/.gitignore,131914
141159,CalcProgrammer1/archos-gen8-kernel-3.2.1,refs/heads/master,Documentation/vm/.gitignore,113336
142334,mengmenglv/simplean.js,refs/heads/master,.gitignore,13028
145772,sml2h3/goldedu,refs/heads/master,vendor/phpunit/phpunit-mock-objects/.gitignore,17878
148774,DipSwitch/microcoap,refs/heads/master,.gitignore,155
149016,panzi/obs-studio,refs/heads/master,additional_install_files/exec32d/.gitignore,12646
151922,mickaelandrieu/symfony,refs/heads/master,src/Symfony/Component/Translation/.gitignore,76789
153167,S-Mach/s_mach.codetools,refs/heads/master,.gitignore,519
153403,singpolyma/RPNR,refs/heads/master,.gitignore,104
156413,sepano/MyFirstHtml5App,refs/heads/master,.gitignore,196
159675,system7-open-source/imamd,refs/heads/master,.gitignore,389
161151,NookieDevs/android_kernel_bn_encore,refs/heads/encore-omap3-3,arch/x86/boot/compressed/.gitignore,459515
163527,cmsgears/template-basic,refs/heads/master,frontend/web/assets/.gitignore,8217
164650,eduarmreyes/pivot4d-website,refs/heads/gh-pages,.gitignore,76910
164668,yanyingwang/.vim,refs/heads/vim-old,bundle/syntastic/.gitignore,3760
168349,thelinuxkid/go-ipfs,refs/heads/master,Godeps/_workspace/src/github.com/mtchavez/jenkins/.gitignore,22039
170539,jycr753/WinObjC,refs/heads/master,deps/3rdparty/angleproject/.gitignore,391962
176334,cclcgm/cgm-remote-monitor,refs/heads/master,.gitignore,19577
179622,motowilliams/posh-git,refs/heads/master,.gitignore,5594
186081,rajatchopra/kubernetes,refs/heads/master,vendor/github.com/spf13/viper/.gitignore,492177
188605,plugorgau/eventstreamr-frontend,refs/heads/master,.gitignore,1389
192997,kbaum/browser-timezone-rails,refs/heads/master,.gitignore,70
