number,global_patterns,added_global,globstar_patterns,added_globstar,normal_patterns,added_normal,time (sec)
3146,2,4,0,0,0,0,0.01
6233,2,2,0,0,0,0,0.0
8564,13,260,0,0,3,3,0.12
17578,6,438,0,0,4,4,0.03
19283,1,1,0,0,0,0,0.01
30771,2,10,0,0,3,3,0.02
34373,1,32,0,0,5,5,0.01
35122,3,3,0,0,0,0,0.01
37033,2,2,0,0,0,0,0.01
37177,11,60,0,0,1,1,0.13
41900,9,108,0,0,0,0,0.03
42538,7,36,0,0,15,15,0.09
56202,7,7,0,0,0,0,0.04
56554,17,34,0,0,0,0,0.04
65239,3,18,0,0,0,0,0.01
66122,3,18,0,0,0,0,0.01
68384,19,213,0,0,4,4,0.04
76507,4,36,0,0,0,0,0.02
85812,6,274,0,0,2,2,0.02
89662,3,60,0,0,0,0,0.03
92640,8,181,0,0,16,16,0.05
96693,10,10,0,0,0,0,0.03
97834,2,4,0,0,0,0,0.0
99133,6,340,0,0,0,0,0.03
99447,4,4,0,0,0,0,0.02
107814,12,84,0,0,0,0,0.09
109559,2,22,0,0,4,4,0.07
119668,8,232,0,0,0,0,0.05
123164,4,124,0,0,2,2,0.02
129019,8,48,0,0,0,0,0.19
129721,1,1,0,0,0,0,0.0
129804,3,9,0,0,0,0,0.01
135497,4,16,0,0,0,0,0.01
141159,2,2,0,0,0,0,0.01
142334,2,1256,0,0,0,0,0.06
145772,2,40,0,0,6,6,0.02
149016,1,1,0,0,0,0,0.0
151922,3,72,0,0,0,0,0.03
153403,2,4,0,0,0,0,0.01
156413,0,0,0,0,0,0,0.0
161151,6,6,0,0,0,0,0.03
163527,1,1,0,0,0,0,0.02
164650,0,0,0,0,0,0,0.01
164668,4,440,0,0,0,0,0.04
179622,3,12,0,0,0,0,0.01
211481,2,14,0,0,0,0,0.01
212563,10,176,0,0,1,1,0.06
212798,5,20,0,0,0,0,0.01
213429,7,61,0,0,1,1,0.05
217150,2,2,0,0,0,0,0.0
222752,3,165,0,0,4,4,0.02
246238,17,102,0,0,0,0,0.03
252747,6,18,0,0,0,0,0.1
255723,2,2,0,0,0,0,0.01
264177,0,0,0,0,10,10,0.04
276076,17,68,0,0,0,0,0.08
284201,10,48,0,0,1,1,0.04
288354,6,108,0,0,0,0,0.02
289207,6,66,0,0,0,0,0.01
317673,2,94,0,0,3,3,0.03
319968,3,60,0,0,1,1,0.01
332496,1,1,0,0,0,0,0.01
340720,5,72,0,0,0,0,0.01
343316,6,294,0,0,0,0,0.06
352590,7,7,0,0,0,0,0.02
359397,6,54,0,0,0,0,0.02
365220,0,0,0,0,4,4,0.01
372297,5,45,0,0,5,5,0.06
374467,3,6,0,0,0,0,0.0
375233,3,21,0,0,0,0,0.02
381158,12,256,0,0,1,1,0.06
400282,2,2,0,0,0,0,0.01
401373,2,6,0,0,0,0,0.0
401427,3,21,0,0,0,0,0.02
401891,34,95,0,0,1,1,0.19
402574,2,8,0,0,0,0,0.01
403343,3,3,0,0,0,0,0.0
414443,8,48,0,0,0,0,0.01
414498,5,10,0,0,0,0,0.01
416979,3,48,0,0,3,3,0.04
417454,2,2,0,0,0,0,0.0
424921,4,20,0,0,0,0,0.02
425654,1,6,0,0,3,3,0.01
438580,2,2,0,0,0,0,0.0
440853,4,12,0,0,0,0,0.01
442049,1,7,0,0,0,0,0.02
447985,16,608,0,0,0,0,0.1
453858,13,13,0,0,0,0,0.02
459018,1,1,0,0,0,0,0.01
459309,4,140,0,0,0,0,0.02
464988,0,0,0,0,2,2,0.0
469264,2,14,0,0,0,0,0.01
476933,3,117,0,0,0,0,0.01
482799,3,6,0,0,0,0,0.02
486812,3,9,0,0,0,0,0.01
490195,1,1,0,0,0,0,0.01
503471,1,11,0,0,5,5,0.01
507526,1,4,0,0,1,1,0.01
511704,12,696,0,0,0,0,0.11
517835,3,15,0,0,0,0,0.02
519449,0,0,0,0,0,0,0.02
522151,0,0,0,0,2,2,0.01
527102,0,0,0,0,3,3,0.01
527291,2,2,0,0,0,0,0.0
534295,6,42,0,0,0,0,0.02
538334,3,24,0,0,0,0,0.01
538354,2,2,0,0,0,0,0.0
541775,8,32,0,0,0,0,0.03
549108,1,1,0,0,0,0,0.0
560957,3,123,0,0,0,0,0.01
564877,0,0,0,0,2,2,0.01
574391,3,9,0,0,0,0,0.0
590069,32,93,0,0,1,1,0.26
600241,2,25,0,0,1,1,0.02
601806,5,100,0,0,0,0,0.01
604196,23,460,0,0,0,0,0.08
605604,2,16,0,0,0,0,0.01
607482,1,1,0,0,0,0,0.01
609291,2,852,0,0,0,0,0.05
621248,2,6,0,0,0,0,0.0
621747,3,9,0,0,0,0,0.02
621852,3,33,0,0,2,2,0.03
650184,2,6,0,0,0,0,0.01
651194,2,2,0,0,0,0,0.0
656990,2,2,0,0,0,0,0.0
659010,5,72,0,0,2,2,0.03
663214,3,15,0,0,0,0,0.01
664564,2,2,0,0,0,0,0.0
670831,3,210,0,0,6,6,0.03
673913,4,8,0,0,0,0,0.02
679658,0,0,0,0,2,2,0.0
681527,5,5,0,0,0,0,0.01
684829,1,1,0,0,0,0,0.0
688246,25,182,0,0,1,1,0.06
689961,2,10,0,0,0,0,0.01
697368,1,1,0,0,0,0,0.0
699191,2,30,0,0,0,0,0.01
718127,11,264,0,0,0,0,0.08
720906,0,0,0,0,3,3,0.01
723896,3,15,0,0,0,0,0.02
725074,4,4,0,0,0,0,0.01
742241,10,390,0,0,0,0,0.03
742891,6,24,0,0,0,0,0.02
743485,15,872,0,0,0,0,0.19
766836,2,34,0,0,0,0,0.01
774053,6,12,0,0,0,0,0.01
777224,1,1,0,0,0,0,0.01
782426,2,22,0,0,0,0,0.0
794948,1,1,0,0,0,0,0.0
795655,2,6,0,0,0,0,0.01
797825,1,13,0,0,0,0,0.0
807828,0,0,0,0,4,4,0.02
815899,13,13,0,0,0,0,0.05
817213,34,494,0,0,1,1,0.11
818446,3,33,0,0,0,0,0.01
822013,5,44,0,0,0,0,0.03
822930,0,0,0,0,0,0,0.06
823749,2,4,0,0,0,0,0.01
834896,2,4,0,0,0,0,0.0
840135,4,8,0,0,0,0,0.02
902601,1,1,0,0,0,0,0.01
909159,5,110,0,0,0,0,0.01
909898,7,36,0,0,0,0,0.01
910535,18,18,0,0,0,0,0.09
916301,6,48,0,0,0,0,0.03
918621,4,126,0,0,5,5,0.04
920657,8,355,0,0,1,1,0.03
923352,3,72,0,0,1,1,0.03
928732,29,721,0,0,2,2,0.13
934554,6,12,0,0,0,0,0.02
947072,3,57,0,0,0,0,0.01
950779,0,0,0,0,2,2,0.0
953468,17,34,0,0,0,0,0.09
957020,3,180,0,0,1,1,0.03
962399,3,45,0,0,0,0,0.02
971153,12,78,0,0,1,1,0.05
974410,6,456,0,0,1,1,0.03
976585,10,38,0,0,1,1,0.1
986015,4,109,0,0,6,6,0.05
989488,7,264,0,0,1,1,0.02
994571,3,9,0,0,0,0,0.02
1004510,33,129,0,0,1,1,0.19
1020346,32,93,0,0,1,1,0.22
1026887,2,4,0,0,0,0,0.01
1033620,2,30,0,0,2,2,0.02
1036956,3,36,0,0,0,0,0.0
1041562,8,32,0,0,0,0,0.02
1054951,1,11,0,0,2,2,0.01
1057092,12,263,0,0,2,2,0.15
1067100,1,16,0,0,0,0,0.0
1074179,6,6,0,0,0,0,0.02
1091920,3,3,0,0,0,0,0.02
1092296,6,12,0,0,0,0,0.03
1100639,7,7,0,0,0,0,0.03
1101230,8,152,0,0,4,4,0.03
1107873,5,130,0,0,0,0,0.02
1113600,3,3,0,0,0,0,0.01
1115273,18,19,0,0,0,0,0.08
1117829,2,6,0,0,1,1,0.01
1125311,11,163,0,0,1,1,0.1
1130374,10,28,0,0,1,1,0.12
1130447,13,213,0,0,4,4,0.09
1130822,10,28,0,0,1,1,0.04
1138438,1,17,0,0,0,0,0.0
1144745,8,8,0,0,0,0,0.01
1166309,3,24,0,0,1,1,0.01
1176244,4,120,0,0,4,4,0.02
1195206,0,0,0,0,2,2,0.02
1198092,1,1,0,0,0,0,0.0
1209930,2,2916,0,0,0,0,0.15
1213396,13,96,0,0,4,4,0.1
1214143,2,2,0,0,0,0,0.0
1215663,4,156,0,0,0,0,0.03
1218361,1,8,0,0,2,2,0.01
1218759,10,160,0,0,5,5,0.06
1229358,6,12,0,0,0,0,0.02
1230980,2,30,0,0,1,1,0.01
1252159,18,152,0,0,4,4,0.13
1252693,2,18,0,0,0,0,0.01
1255663,15,165,0,0,0,0,0.07
1256128,2,2,0,0,0,0,0.01
1259074,0,0,0,0,15,15,0.03
1261943,2,8,0,0,0,0,0.0
1264054,4,28,0,0,0,0,0.01
1267311,2,42,0,0,0,0,0.0
1268494,0,0,0,0,2,2,0.01
1271007,0,0,0,0,5,5,0.02
1283943,24,156,0,0,0,0,0.15
1292372,1,1,0,0,0,0,0.01
1292504,3,3,0,0,0,0,0.01
1298256,4,40,0,0,0,0,0.01
1306341,2,2,0,0,0,0,0.01
1312402,0,0,0,0,2,2,0.01
1314608,8,8,0,0,0,0,0.01
1326813,3,15,0,0,0,0,0.01
1333769,12,132,0,0,0,0,0.03
1333848,5,5,0,0,0,0,0.01
1339094,2,6,0,0,0,0,0.01
1340680,2,2,0,0,0,0,0.01
1342991,3,12,0,0,0,0,0.0
1343315,24,26,0,0,0,0,0.06
1344385,1,1,0,0,0,0,0.01
1347397,0,0,0,0,2,2,0.0
1349911,1,3,0,0,2,2,0.02
1360096,5,15,0,0,0,0,0.01
1362746,3,6,0,0,0,0,0.01
1365258,10,590,0,0,0,0,0.05
1366846,2,2,0,0,0,0,0.0
1374559,5,11,0,0,1,1,0.01
1378664,4,36,0,0,0,0,0.01
1381985,4,148,0,0,0,0,0.03
1386922,11,198,0,0,0,0,0.06
1394432,5,200,0,0,0,0,0.04
1403300,2,8,0,0,0,0,0.01
1417643,3,12,0,0,0,0,0.02
1418197,6,12,0,0,0,0,0.02
1421713,26,1222,0,0,0,0,0.16
1424539,4,20,0,0,0,0,0.01
1445237,2,12,0,0,3,3,0.01
1449831,6,64,0,0,1,1,0.04
1455209,0,0,0,0,2,2,0.01
1455589,10,28,0,0,1,1,0.1
1456551,9,122,0,0,1,1,0.05
1460085,1,3,0,0,0,0,0.0
1467812,0,0,0,0,3,3,0.0
1474990,3,12,0,0,0,0,0.0
1480504,12,12,0,0,0,0,0.04
1484592,3,18,0,0,0,0,0.01
1493779,3,90,0,0,0,0,0.02
1499470,0,0,0,0,5,5,0.01
1501905,0,0,0,0,6,6,0.02
1502684,1,1,0,0,0,0,0.0
1505617,1,3,0,0,1,1,0.0
1509016,14,60,0,0,1,1,0.08
1514862,40,2890,0,0,3,3,0.49
1516604,5,40,0,0,0,0,0.01
1524307,3,53,0,0,1,1,0.01
1531540,6,12,0,0,0,0,0.02
1532698,20,20,0,0,0,0,0.07
1537862,3,23,0,0,2,2,0.03
1548009,2,10,0,0,0,0,0.0
1558741,1,1,0,0,0,0,0.01
1559027,6,24,0,0,0,0,0.01
1561970,6,6,0,0,0,0,0.01
1573674,7,924,0,0,1,1,0.05
1575302,1,6,0,0,1,1,0.0
1586309,4,5,0,0,0,0,0.01
1588830,2,583,0,0,2,2,0.05
1590120,6,36,0,0,0,0,0.08
1596438,13,390,0,0,0,0,0.07
1596728,6,18,0,0,0,0,0.01
1602877,7,7,0,0,0,0,0.01
1611573,4,8,0,0,0,0,0.01
1615226,2,30,0,0,1,1,0.01
1616655,0,0,0,0,5,5,0.01
1617258,1,4,0,0,1,1,0.01
1622820,18,479,0,0,5,5,0.27
1629986,3,9,0,0,1,1,0.01
1630944,2,2,0,0,0,0,0.01
1650103,6,12,0,0,0,0,0.02
1656429,8,88,0,0,0,0,0.03
1668329,13,364,0,0,0,0,0.06
1671639,2,52,0,0,0,0,0.02
1684416,2,72,0,0,1,0,0.01
1685131,1,1,0,0,0,0,0.0
1691737,4,72,0,0,6,6,0.05
1703410,27,754,0,0,0,0,0.34
1726751,3,12,0,0,0,0,0.01
1726797,2,352,0,0,1,1,0.02
1730152,2,4,0,0,0,0,0.01
1730478,2,6,0,0,0,0,0.01
1733112,5,5,0,0,0,0,0.02
1738340,3,9,0,0,0,0,0.01
1738790,3,15,0,0,0,0,0.01
1738833,1,1,0,0,0,0,0.01
1744072,5,20,0,0,1,1,0.02
1752373,4,4,0,0,0,0,0.02
1761820,0,0,0,0,10,10,0.04
1770941,4,120,0,0,0,0,0.02
1780372,2,12,0,0,1,1,0.01
1786501,32,229,0,0,1,1,0.25
1789484,0,0,0,0,3,3,0.01
1789634,14,135,0,0,3,3,0.22
1813921,3,228,0,0,29,29,0.09
1831044,3,36,0,0,0,0,0.01
1835892,3,6,0,0,1,1,0.01
1841468,3,105,0,0,0,0,0.01
1843050,2,2,0,0,0,0,0.0
1860104,2,2,0,0,0,0,0.0
1872152,2,110,0,0,2,2,0.03
1873017,15,114,0,0,6,6,0.08
1873154,3,3,0,0,0,0,0.0
1880689,0,0,0,0,3,3,0.0
1887430,1,132,0,0,4,4,0.02
1887870,6,588,0,0,0,0,0.04
1890067,4,68,0,0,0,0,0.01
1890393,12,120,0,0,1,1,0.18
1899293,2,10,0,0,0,0,0.01
1909861,3,3,0,0,0,0,0.0
1917403,3,36,0,0,0,0,0.01
1920291,2,4,0,0,0,0,0.0
1928029,3,20,0,0,1,1,0.02
1932692,2,348,0,0,0,0,0.03
1934472,25,108,0,0,0,0,0.05
1934897,2,6,0,0,0,0,0.01
1935127,5,60,0,0,0,0,0.01
1944664,3,2,0,0,0,0,0.0
1946395,1,9,0,0,8,8,0.03
1947453,6,12,0,0,0,0,0.01
1958782,3,13,0,0,2,2,0.02
1961017,2,4,0,0,0,0,0.0
1963075,16,240,0,0,5,5,0.12
1964607,6,499,0,0,9,9,0.04
1973072,4,24,0,0,0,0,0.02
1974590,6,12,0,0,0,0,0.01
1976309,2,24,0,0,5,5,0.04
1980087,14,14,0,0,0,0,0.05
1994130,5,15,0,0,9,9,0.04
1998255,10,36,0,0,1,1,0.12
2001362,32,93,0,0,1,1,0.14
2001702,4,20,0,0,0,0,0.02
2007637,1,1,0,0,0,0,0.0
2009295,4,304,0,0,1,1,0.02
2017439,8,64,0,0,4,4,0.03
2019937,1,1,0,0,0,0,0.0
2028497,2,6,0,0,0,0,0.01
2028881,3,33,0,0,0,0,0.01
2040261,1,1,0,0,0,0,0.01
2041651,3,27,0,0,4,4,0.04
2045272,5,5,0,0,0,0,0.03
2053332,24,78,0,0,0,0,0.14
2055894,24,480,0,0,0,0,0.14
2075797,1,1,0,0,0,0,0.01
2083090,18,108,0,0,0,0,0.09
2092749,3,15,0,0,0,0,0.02
2094949,3,12,0,0,0,0,0.01
2120746,2,2,0,0,0,0,0.0
2121281,3,264,0,0,0,0,0.02
2128022,34,5641,0,0,1,1,0.63
2131867,2,2,0,0,0,0,0.02
2134346,11,220,0,0,0,0,0.06
2134494,3,15,0,0,0,0,0.0
2143567,2,8,0,0,0,0,0.01
2147697,3,21,0,0,0,0,0.01
2147804,4,20,0,0,1,1,0.01
2149630,1,1,0,0,0,0,0.01
2149738,4,32,0,0,0,0,0.01
2155486,4,4,0,0,0,0,0.01
2160573,4,4,0,0,0,0,0.04
2168183,2,4,0,0,0,0,0.01
2169476,4,58,0,0,1,1,0.03
2170879,16,16,0,0,0,0,0.09
2172512,3,9,0,0,0,0,0.01
2176410,4,36,0,0,0,0,0.01
2180085,8,264,0,0,0,0,0.06
2195086,5,30,0,0,0,0,0.04
2219010,2,2,0,0,0,0,0.0
2230639,3,3,0,0,0,0,0.01
2239523,2,8,0,0,0,0,0.01
2243890,3,75,0,0,0,0,0.01
2252359,1,1,0,0,0,0,0.0
2261201,3,78,0,0,0,0,0.01
